"Guid","APXTConga4__Description__c","APXTConga4__Key__c","APXTConga4__Name__c","APXTConga4__Query__c"
218c9104-2788-483d-b4d0-6662565b7cca,Created By Solution Pack for Composer Solution: Composer SP Account Brief (Account),0Q_005EAM864640,Acct Contacts [Contacts],"Select FirstName, LastName, Title, Phone From Contact Where Account.Id = '{pv0}' order by LastName asc"
405cebb0-623c-4d37-9cdc-b20d259932ca,Created By Solution Pack for Composer Solution: Final MSA CS (Contract),0Q_000EAM459215,Contract Clauses - MSA Payment [PayClause],"SELECT APXT_Redlining__Latest_Revision_Text__c, Id, APXT_Redlining__Order__c FROM APXT_Redlining__Managed_Clause__c WHERE CongaCoreSDO__Parent_Contract__r.ID = '{pv0}' AND APXT_Redlining__Clause_Type__c = 'Payment' ORDER BY APXT_Redlining__Order__c ASC"
91f12880-9634-4e31-a0e1-febd937bc11d,Created By Solution Pack for Composer Solution: Generate MSA (Contract),0Q_003EAM459215,Contract Clauses - MSA Definition [DefClause],"SELECT APXT_Redlining__Latest_Revision_Text__c, Id, APXT_Redlining__Order__c FROM APXT_Redlining__Managed_Clause__c WHERE CongaCoreSDO__Parent_Contract__r.ID = '{pv0}' AND APXT_Redlining__Clause_Type__c = 'Definition' ORDER BY APXT_Redlining__Order__c ASC"
947c0444-9d51-40d6-85a1-211d7ecb9eae,Created By Solution Pack for Composer Solution: Composer SP Account Brief (Account),0Q_004EAM864640,Acct Opptys [Opptys],"SELECT Opportunity.Name, Opportunity.Type, Opportunity.Amount, Opportunity.CloseDate, Opportunity.StageName, (Select Contact.name from OpportunityContactRoles where IsPrimary = true)  FROM Opportunity Where Opportunity.Account.Id = '{pv0}' order by Opportunity.CloseDate asc"
a6aefb29-e9b9-4edf-9bd4-e398cc3e9f3e,Created By Solution Pack for Composer Solution: Final MSA CS (Contract),0Q_001EAM459215,Contract Clauses - MSA Definition [DefClause],"SELECT APXT_Redlining__Latest_Revision_Text__c, Id, APXT_Redlining__Order__c FROM APXT_Redlining__Managed_Clause__c WHERE CongaCoreSDO__Parent_Contract__r.ID = '{pv0}' AND APXT_Redlining__Clause_Type__c = 'Definition' ORDER BY APXT_Redlining__Order__c ASC"
a9f79c8a-e39d-4722-8469-524f5395a294,Created By Solution Pack for Composer Solution: Composer SP Account Brief (Account),0Q_006EAM864640,Acct Cases [Cases],"Select Account.Name, Subject, Status, CreatedDate from Case where Account.Id = '{pv0}' order by CreatedDate asc"
e88809ab-4c7d-4593-a0bf-63856e5e78ad,Created By Solution Pack for Composer Solution: Generate MSA (Contract),0Q_002EAM459215,Contract Clauses - MSA Payment [PayClause],"SELECT APXT_Redlining__Latest_Revision_Text__c, Id, APXT_Redlining__Order__c FROM APXT_Redlining__Managed_Clause__c WHERE CongaCoreSDO__Parent_Contract__r.ID = '{pv0}' AND APXT_Redlining__Clause_Type__c = 'Payment' ORDER BY APXT_Redlining__Order__c ASC"
ecd945bc-6173-46c0-8e72-8c4107f85feb,Created By Solution Pack for Composer Solution: Composer SP Account Brief (Account),0Q_007EAM864640,Acct Activities [Activities],"SELECT Status,Subject, ActivityDate FROM Task Where AccountId = '{pv0}' order by ActivityDate asc"
