"Guid","Name","SBQQ__BorderColor__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeaderHidden__c","SBQQ__ConditionalPrintField__c","SBQQ__Content__c","SBQQ__DisplayOrder__c","SBQQ__FilterField__c","SBQQ__FilterOperator__c","SBQQ__FilterValue__c","SBQQ__GroupField__c","SBQQ__KeepTogether__c","SBQQ__KeepWithNext__c","SBQQ__KeepWithPrevious__c","SBQQ__PageBreak__c","SBQQ__QuoteTotalsPrinted__c","SBQQ__RollUpField__c","SBQQ__SummaryDisplay__c","SBQQ__Template__c","SBQQ__TopMargin__c"
91ab2d86-e2eb-4f63-a9f7-cb6e0adaeea3,Bottom,"#N/A",0.0,false,"#N/A",ef42e636-d5b0-4176-8526-b969b48a5b45,30.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",069e0a43-618c-48c2-9808-330d50c3f1e2,0.0
d0e34bfb-066c-4270-b138-ef77fa2893d9,Lines,"#N/A",0.0,false,"#N/A",7084d8ba-f345-446b-af2a-881ed1258645,20.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",069e0a43-618c-48c2-9808-330d50c3f1e2,0.0
eb0ea98e-9c9c-4eaf-a309-75e4c1e7f768,Top,"#N/A",0.0,false,"#N/A",60930b6c-c591-4000-8bd2-b6ad73e5e219,10.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",069e0a43-618c-48c2-9808-330d50c3f1e2,0.0
