"Guid","SBQQ__FilterField__c","SBQQ__FilterValue__c","SBQQ__Operator__c","SBQQ__Required__c","SBQQ__Rule__c","SBQQ__Type__c","SBQQ__ValueAttribute__c","SBQQ__ValueField__c","SBQQ__ValueObject__c"
15d3bea1-35cc-4f21-a2c9-29f5fe0a7620,"#N/A","#N/A","#N/A",false,af713534-fa01-4d06-bde6-0355528e0f44,Add,"#N/A","#N/A","#N/A"
7ae9a9ca-3c05-4273-9d4c-2db376a20757,"#N/A","#N/A","#N/A",false,af713534-fa01-4d06-bde6-0355528e0f44,Add,"#N/A","#N/A","#N/A"
b45f563e-866d-4a34-9283-005ffc7db65e,"#N/A","#N/A","#N/A",false,af713534-fa01-4d06-bde6-0355528e0f44,Enable,"#N/A","#N/A","#N/A"
b5ddbe01-7a3f-4175-9b0d-df0976913190,"#N/A","#N/A","#N/A",false,af713534-fa01-4d06-bde6-0355528e0f44,Remove,"#N/A","#N/A","#N/A"
