"Guid","SBQQ__IsRead__c","SBQQ__JobDetails__c","SBQQ__JobId__c","SBQQ__JobStatus__c","SBQQ__RecordId__c","SBQQ__RedirectUrl__c","SBQQ__Stacktrace__c"
35d279dd-db0b-4566-ae51-1d51040c0bf5,false,"#N/A",7075e0000087iBX,Completed,a344x0000000vWCAAY::QuoteCalculator,"#N/A","#N/A"
411dd6f9-e867-4113-8f5f-5195102d663c,true,"#N/A",7075e0000087iBZ,"#N/A",a344x0000000vW7AAI::QuoteDocumentService,"#N/A","#N/A"
689d672e-3b73-4c31-905a-ea16e765aec4,false,"#N/A","#N/A",Completed,a344x0000000vWWAAY::QuoteCalculator,"#N/A","#N/A"
6fec453f-f176-45c0-b0e5-f951fcf831a1,false,"#N/A",7075e0000087iBY,Completed,a344x0000000vWHAAY::QuoteCalculator,"#N/A","#N/A"
78a8cc76-f896-421f-8948-8897e4221a13,false,"#N/A","#N/A",Completed,a344x0000000vWMAAY::QuoteCalculator,"#N/A","#N/A"
a28d24d8-90c0-4a1f-b2ac-6434ebfc9b17,false,"#N/A","#N/A",Completed,a344x0000000vWRAAY::QuoteCalculator,"#N/A","#N/A"
c16da372-8ea2-47e7-96ef-1a4d0f1f49bf,false,"#N/A",7075e0000087iBW,"#N/A",a344x0000000vMeAAI::QuoteCalculator,"#N/A","#N/A"
fece2233-7802-4313-bd57-da1bbfbe00f7,false,"#N/A","#N/A",Completed,a344x0000000vW7AAI::QuoteCalculator,"#N/A","#N/A"
