"Guid","SBQQ__Active__c","SBQQ__AdvancedCondition__c","SBQQ__Body__c","SBQQ__ConditionsMet__c","SBQQ__Locked__c","SBQQ__ParentTerm__c","SBQQ__PrintOrder__c","SBQQ__Quote__c","SBQQ__StandardTerm__c","SBQQ__Status__c","SBQQ__TemplateContent__c"
021f2dc1-1a1b-4997-a588-24996721f1eb,false,"#N/A","#N/A",All,false,"#N/A",2.0,"#N/A","#N/A",Draft,"#N/A"
14f89f58-b1ed-4c36-b74d-792ac46728b4,false,"#N/A","#N/A",All,false,"#N/A",5.0,"#N/A","#N/A",Draft,"#N/A"
19c30771-f62b-4533-b707-d0ba68ee5364,false,"#N/A","#N/A",All,false,"#N/A",1.0,"#N/A","#N/A",Draft,"#N/A"
493402e5-af37-46d7-ae24-d1162813af50,false,"#N/A","#N/A",All,false,"#N/A",3.0,"#N/A","#N/A",Draft,"#N/A"
d8c058dd-3253-42d5-9b3e-5f525873c115,false,"#N/A","#N/A",All,false,"#N/A",4.0,"#N/A","#N/A",Draft,"#N/A"
